ItemCode	Warehouse	NET_AFTER_1	NET_AFTER_2	NET_AFTER_3	NET_AFTER_4	NET_AFTER_5	NET_AFTER_6
EX0000003	DL-POP	-2870	-2870	-2870	0	0	0
EX0000004	DL-POP	-200	-200	-200	0	0	0
EX0000005	DL-POP	-750	-750	-750	0	0	0
EX0000006	DL-POP	-1050	-1050	-1050	0	0	0
EX0000007	DL-POP	-1605	-1605	-1605	0	0	0
EX0000008	DL-POP	-500	-500	-500	0	0	0
EX0000009	DL-POP	-2500	-2500	-2500	0	0	0
EX0000011	DL-POP	10350	0	0	0	0	0
EX0000012	DL-POP	0	0	0	0	0	0
EX0000013	DL-POP	1005	1005	1005	0	0	0
FA0000005	BH-FA	800	0	0	0	0	0
FA0000012	BH-FA	500	0	0	0	0	0
FA0000024	BH-FA	-1	-1	-1	-1	0	0
FA0000083	BH-FA	-1	0	0	0	0	0
FA0000255	BH-FA	1	1	0	0	0	0
FA0000389	BH-FA	-5	0	0	0	0	0
FA0000390	BH-FA	-5	0	0	0	0	0
FA0000391	BH-FA	-5	0	0	0	0	0
FA0000393	BH-FA	-5	0	0	0	0	0
FA0000394	BH-FA	-5	0	0	0	0	0
FA0000395	BH-FA	-5	0	0	0	0	0
FA0000410	BH-FA	-8	0	0	0	0	0
FA0000411	BH-FA	-8	0	0	0	0	0
FA0000412	BH-FA	-8	0	0	0	0	0
FA0000416	BH-FA	0	0	0	0	0	0
FA0000421	BH-FA	0	0	0	0	0	0
FA0000422	BH-FA	0	0	0	0	0	0
FA0000423	BH-FA	1	0	0	0	0	0
FA0000427	DL-FA	1	1	0	0	0	0
FA0000428	BH-FA	1	1	1	0	0	0
FA0000430	BH-FA	6	6	6	6	6	0
FA0000433	BH-FA	400	400	400	400	400	0
FG0000226	BH-VG	0	0	0	0	0	0
FG0000226	DL-INT	0	0	0	0	0	0
FG0000226	DL-J3	0	0	0	0	0	0
FG0000228	BH-VG	0	0	0	0	0	0
FG0000228	DL-INT	0	0	0	0	0	0
FG0000228	DL-J3	0	0	0	0	0	0
FG0000229	BH-VG	0	0	0	0	0	0
FG0000229	DL-INT	0	0	0	0	0	0
FG0000229	DL-J3	0	0	0	0	0	0
FG0000230	BH-VG	0	0	0	0	0	0
FG0000230	DL-INT	0	0	0	0	0	0
FG0000230	DL-J3	0	0	0	0	0	0
FG0000231	BH-VG	0	0	0	0	0	0
FG0000231	DL-INT	0	0	0	0	0	0
FG0000231	DL-J3	0	0	0	0	0	0
FG0000232	BH-VG	0	0	0	0	0	0
FG0000232	DL-INT	0	0	0	0	0	0
FG0000232	DL-J3	0	0	0	0	0	0
FG0000233	BH-FG	-247	-173	33	81	39	0
FG0000233	BH-INT	0	0	0	0	0	0
FG0000233	BH-PF	-4598	2	0	0	0	0
FG0000233	BH-PP	-284	0	0	0	0	0
FG0000233	BH-VG	0	-4884	-4884	-1044	0	0
FG0000233	DL-INT	0	0	0	0	0	0
FG0000233	DL-J3	0	0	0	0	0	0
FG0000233	DL-PS	-144	0	0	0	0	0
FG0000234	BH-FG	2849	2849	-823	233	527	0
FG0000234	BH-PF	2316	2316	-372	-372	0	0
FG0000234	BH-VG	-2662	-2662	-2662	0	0	0
FG0000234	DL-INT	0	0	0	0	0	0
FG0000234	DL-J3	0	0	0	0	0	0
FG0000234	DL-PS	0	0	-240	0	0	0
FG0000235	BH-VG	0	0	0	0	0	0
FG0000235	DL-INT	0	0	0	0	0	0
